correspPairIds,SKpersonId_person1,personStrId_person1,SKpersonId_person2,personStrId_person2,conflictYearStart,conflictYearEnd,signRelation,notesConflict
skp003623@skp003755,skp003755,Apollonio Bassetti^1631^1699^0,skp003623,Antonio Marco Magliabechi^1633^1714^0,1674,0,-1,
skp003623@mop0217,mop0217,Bartolommei Mattia Maria^0^0^1676,skp003623,Antonio Marco Magliabechi^1633^1714^0,1685,0,-1,
skp003623@mop0239,mop0239,Bellini Francesco Maria^0^0^1684,skp003623,Antonio Marco Magliabechi^1633^1714^0,1674,0,-1,
skp003623@mop0241,mop0241,Bellini Lorenzo^1643^1704^0,skp003623,Antonio Marco Magliabechi^1633^1714^0,1695,0,-1,
skp003623@mop0255,mop0255,Benfatti Francesco^0^0^1683,skp003623,Antonio Marco Magliabechi^1633^1714^0,1674,0,-1,
skp003623@skp006710,skp006710,Carlo Roberto Dati^1619^1676^0,skp003623,Antonio Marco Magliabechi^1633^1714^0,1668,0,-1,
skp003623@skp008118,skp008118,Christoph. Arnoldus^0^0^1679,skp003623,Antonio Marco Magliabechi^1633^1714^0,1675,0,-1,
skp003623@mop0647,mop0647,Coronelli Vincenzo Maria^1650^1718^0,skp003623,Antonio Marco Magliabechi^1633^1714^0,1703,0,-1,
skp003623@skp008617,skp008617,Domenico Passionei^1682^1761^0,skp003623,Antonio Marco Magliabechi^1633^1714^0,1709,0,-1,
skp003623@skp011835,skp011835,Enrico Noris^1631^1704^0,skp003623,Antonio Marco Magliabechi^1633^1714^0,1674,0,-1,
skp003623@skp031942,skp031942,Lorenzo Panciatichi^1635^1676^0,skp003623,Antonio Marco Magliabechi^1633^1714^0,1675,0,-1,
skp003623@mop1526,mop1526,Moneglia Giovanni Andrea^1625^1700^0,skp003623,Antonio Marco Magliabechi^1633^1714^0,1668,0,-1,
skp003623@skp035864,skp035864,Nicolaas Heinsius^1620^1681^0,skp003623,Antonio Marco Magliabechi^1633^1714^0,1675,0,-1,
skp003623@skp036430,skp036430,Ottavio Ferrari^1607^1682^0,skp003623,Antonio Marco Magliabechi^1633^1714^0,1675,0,-1,
skp003623@mop1815,mop1815,Redi Francesco^1626^1697^0,skp003623,Antonio Marco Magliabechi^1633^1714^0,1674,0,-1,
skp003623@mop1838,mop1838,Ricciardi Giovanni Battista^1623^1686^0,skp003623,Antonio Marco Magliabechi^1633^1714^0,1674,0,-1,
skp003623@mop1854,mop1854,Rilli Jacopo^0^0^1699,skp003623,Antonio Marco Magliabechi^1633^1714^0,1674,0,-1,
skp003623@mop1969,mop1969,Semino Domenico^0^0^1677,skp003623,Antonio Marco Magliabechi^1633^1714^0,1685,0,-1,
skp003623@mop2026,mop2026,Steensen Nicolaus^1638^1686^0,skp003623,Antonio Marco Magliabechi^1633^1714^0,1682,0,-1,
skp003623@mop2088,mop2088,Tomansi Leopoldo^0^0^1686,skp003623,Antonio Marco Magliabechi^1633^1714^0,1678,0,-1,
skp003623@mop2163,mop2163,Viali Felice^0^0^1678,skp003623,Antonio Marco Magliabechi^1633^1714^0,1674,0,-1,
skp003623@mop2184,mop2184,Viviani Vincenzo^1622^1703^0,skp003623,Antonio Marco Magliabechi^1633^1714^0,1674,0,-1,
skp003539@skp003623,skp003539,Anton Maria Salvini^1653^1729^0,skp003623,Antonio Marco Magliabechi^1633^1714^0,1709,0,-1,
skp024024@skp028586,skp024024,Jacobus Gronovius^1645^1716^0,skp028586,Johannes Georgius Graevius^1632^1703^0,1681,1682,-1,Reconciliation 
skp024024@skp035864,skp024024,Jacobus Gronovius^1645^1716^0,skp035864,Nicolaas Heinsius^1620^1681^0,1675,0,-1,
skp024024@skp042335,skp024024,Jacobus Gronovius^1645^1716^0,skp042335,Theodorus Rijckius^1640^1690^0,1675,0,-1,